num-inserts	build-time	memory	query-100	query-95	query-75	query-50	query-25	query-5	query-0
1000000	726	47472640	1.66945e+06	1.70358e+06	1.69205e+06	1.66113e+06	1.68919e+06	1.6835e+06	1.70358e+06
2000000	1401	70754304	1.65153e+06	1.65426e+06	1.6488e+06	1.65289e+06	1.6488e+06	1.65426e+06	1.65153e+06
3000000	2104	100061184	1.61377e+06	1.61551e+06	1.61377e+06	1.6129e+06	1.619e+06	1.61464e+06	1.60858e+06
4000000	2853	140050432	1.60064e+06	1.6e+06	1.59936e+06	1.59681e+06	1.59744e+06	1.59936e+06	1.59936e+06
5000000	3826	194576384	1.59591e+06	1.59898e+06	1.59847e+06	1.59693e+06	1.59642e+06	1.59744e+06	1.59795e+06
6000000	4417	200814592	1.5894e+06	1.59236e+06	1.59109e+06	1.59109e+06	1.59109e+06	1.59025e+06	1.58983e+06
7000000	5085	209240064	1.58479e+06	1.58156e+06	1.58407e+06	1.58443e+06	1.58264e+06	1.58335e+06	1.58443e+06
8000000	5897	286801920	1.58479e+06	1.58384e+06	1.58573e+06	1.58604e+06	1.58479e+06	1.5851e+06	1.58541e+06
9000000	6557	295182336	1.57978e+06	1.57922e+06	1.58117e+06	1.57978e+06	1.57618e+06	1.57922e+06	1.57756e+06
10000000	7221	303579136	1.57604e+06	1.5748e+06	1.5753e+06	1.5758e+06	1.57629e+06	1.5758e+06	1.57604e+06
11000000	8605	416776192	1.57323e+06	1.5721e+06	1.57278e+06	1.5721e+06	1.57278e+06	1.57165e+06	1.57323e+06
12000000	9189	425168896	1.57936e+06	1.58165e+06	1.58103e+06	1.58082e+06	1.58082e+06	1.57999e+06	1.58144e+06
13000000	9880	433573888	1.57633e+06	1.57652e+06	1.57576e+06	1.57576e+06	1.57576e+06	1.57576e+06	1.57499e+06
14000000	10490	441991168	1.57215e+06	1.57162e+06	1.57339e+06	1.57356e+06	1.57268e+06	1.57303e+06	1.57268e+06
15000000	11163	450334720	1.56904e+06	1.56953e+06	1.5692e+06	1.56969e+06	1.5715e+06	1.57679e+06	1.57662e+06
16000000	11801	458768384	1.57248e+06	1.57202e+06	1.57264e+06	1.57186e+06	1.57202e+06	1.57202e+06	1.57264e+06
17000000	12903	624320512	1.57102e+06	1.57058e+06	1.57058e+06	1.57058e+06	1.5732e+06	1.57364e+06	1.57364e+06
18000000	13497	632815616	1.58158e+06	1.58186e+06	1.58172e+06	1.58172e+06	1.58131e+06	1.58103e+06	1.58144e+06
19000000	14193	641257472	1.56843e+06	1.56895e+06	1.56921e+06	1.56882e+06	1.56908e+06	1.56882e+06	1.56921e+06
20000000	14841	649637888	1.57518e+06	1.57493e+06	1.57431e+06	1.5753e+06	1.57456e+06	1.57468e+06	1.57518e+06
21000000	15424	657965056	1.57516e+06	1.57445e+06	1.57469e+06	1.5748e+06	1.57268e+06	1.57127e+06	1.57433e+06
22000000	16205	664260608	1.56028e+06	1.56017e+06	1.55984e+06	1.56051e+06	1.56006e+06	1.56006e+06	1.55984e+06
23000000	16814	672710656	1.57072e+06	1.57061e+06	1.56975e+06	1.57072e+06	1.57018e+06	1.57061e+06	1.57018e+06
24000000	17441	681099264	1.56791e+06	1.56791e+06	1.56822e+06	1.5676e+06	1.56791e+06	1.56801e+06	1.56801e+06
25000000	18710	928632832	1.56946e+06	1.56946e+06	1.56946e+06	1.56956e+06	1.56976e+06	1.56986e+06	1.56976e+06
26000000	19308	936886272	1.58064e+06	1.58016e+06	1.58045e+06	1.58045e+06	1.58055e+06	1.58045e+06	1.58035e+06
27000000	19924	943087616	1.57895e+06	1.57922e+06	1.57904e+06	1.57913e+06	1.57913e+06	1.57913e+06	1.57913e+06
28000000	20583	951623680	1.57746e+06	1.57738e+06	1.57755e+06	1.57764e+06	1.57755e+06	1.57746e+06	1.57738e+06
29000000	21338	960028672	1.56444e+06	1.56461e+06	1.56452e+06	1.56469e+06	1.56444e+06	1.56469e+06	1.56469e+06
30000000	21920	968445952	1.57439e+06	1.57456e+06	1.57456e+06	1.57447e+06	1.57456e+06	1.57456e+06	1.57447e+06
31000000	22680	976642048	1.56116e+06	1.56101e+06	1.56093e+06	1.56132e+06	1.56116e+06	1.56132e+06	1.56101e+06
32000000	23247	985190400	1.57117e+06	1.57109e+06	1.57125e+06	1.57132e+06	1.57125e+06	1.5714e+06	1.57155e+06
33000000	23991	991457280	1.55896e+06	1.55881e+06	1.55955e+06	1.55947e+06	1.55977e+06	1.55933e+06	1.5594e+06
34000000	24576	999710720	1.56502e+06	1.56805e+06	1.56805e+06	1.56848e+06	1.56812e+06	1.56819e+06	1.56827e+06
35000000	25353	1008222208	1.55673e+06	1.55701e+06	1.55618e+06	1.55639e+06	1.55632e+06	1.55694e+06	1.55659e+06
36000000	25912	1016561664	1.56808e+06	1.56835e+06	1.56822e+06	1.56829e+06	1.56829e+06	1.56822e+06	1.56856e+06
37000000	27522	1383657472	1.56587e+06	1.56607e+06	1.566e+06	1.56574e+06	1.566e+06	1.56561e+06	1.56547e+06
38000000	28096	1389854720	1.56675e+06	1.56682e+06	1.56701e+06	1.56688e+06	1.56669e+06	1.56682e+06	1.56695e+06
39000000	28866	1398288384	1.55546e+06	1.55558e+06	1.55583e+06	1.55577e+06	1.55564e+06	1.55571e+06	1.55564e+06
40000000	29486	1406734336	1.56287e+06	1.56293e+06	1.56311e+06	1.56305e+06	1.56287e+06	1.56317e+06	1.56317e+06
41000000	30077	1415122944	1.56441e+06	1.56423e+06	1.56441e+06	1.56429e+06	1.56423e+06	1.56429e+06	1.56423e+06
42000000	30742	1423470592	1.55966e+06	1.55954e+06	1.55971e+06	1.55977e+06	1.55943e+06	1.55995e+06	1.55966e+06
43000000	31407	1431891968	1.56227e+06	1.56227e+06	1.56216e+06	1.56239e+06	1.56239e+06	1.56239e+06	1.56244e+06
44000000	31925	1439760384	1.57503e+06	1.57497e+06	1.57509e+06	1.57503e+06	1.57492e+06	1.57497e+06	1.57509e+06
45000000	32572	1446477824	1.57398e+06	1.57403e+06	1.5742e+06	1.57403e+06	1.57403e+06	1.57409e+06	1.57392e+06
46000000	33447	1454948352	1.55458e+06	1.55463e+06	1.55463e+06	1.55453e+06	1.55453e+06	1.55458e+06	1.55458e+06
47000000	33918	1463304192	1.57101e+06	1.57154e+06	1.5718e+06	1.5717e+06	1.57191e+06	1.5717e+06	1.57175e+06
48000000	34835	1471746048	1.5531e+06	1.55305e+06	1.5531e+06	1.5531e+06	1.5529e+06	1.5531e+06	1.5532e+06
49000000	35230	1478029312	1.57041e+06	1.57046e+06	1.57051e+06	1.57051e+06	1.57031e+06	1.57031e+06	1.57051e+06
50000000	35900	1486360576	1.56823e+06	1.56838e+06	1.56823e+06	1.56833e+06	1.56828e+06	1.56804e+06	1.56833e+06
51000000	36792	1494712320	1.55157e+06	1.55152e+06	1.5518e+06	1.55152e+06	1.55171e+06	1.55161e+06	1.55152e+06
52000000	37262	1503023104	1.564e+06	1.56386e+06	1.5641e+06	1.56405e+06	1.56471e+06	1.56414e+06	1.56414e+06
53000000	38165	1511583744	1.54935e+06	1.54953e+06	1.54953e+06	1.54948e+06	1.54948e+06	1.54953e+06	1.54948e+06
54000000	38612	1517797376	1.56463e+06	1.56467e+06	1.56508e+06	1.56499e+06	1.56458e+06	1.56472e+06	1.56508e+06
55000000	40669	2063118336	1.55997e+06	1.56006e+06	1.56006e+06	1.56011e+06	1.56024e+06	1.56028e+06	1.56015e+06
56000000	41097	2071502848	1.58022e+06	1.58018e+06	1.57831e+06	1.58018e+06	1.58045e+06	1.58027e+06	1.5804e+06
57000000	41716	2080018432	1.57794e+06	1.57807e+06	1.57799e+06	1.57807e+06	1.57799e+06	1.5779e+06	1.57812e+06
58000000	42373	2088296448	1.57943e+06	1.57935e+06	1.57952e+06	1.57956e+06	1.57956e+06	1.57952e+06	1.57974e+06
59000000	43028	2096676864	1.57885e+06	1.57898e+06	1.57889e+06	1.57906e+06	1.57889e+06	1.57889e+06	1.57881e+06
60000000	43947	2102980608	1.558e+06	1.55783e+06	1.55796e+06	1.55788e+06	1.55808e+06	1.55792e+06	1.558e+06
61000000	44344	2111365120	1.57712e+06	1.57716e+06	1.57716e+06	1.57721e+06	1.57708e+06	1.57716e+06	1.57696e+06
62000000	44997	2119692288	1.576e+06	1.5746e+06	1.57616e+06	1.57604e+06	1.57624e+06	1.5762e+06	1.57632e+06
63000000	45677	2128134144	1.57303e+06	1.57299e+06	1.57296e+06	1.57288e+06	1.57272e+06	1.57299e+06	1.57292e+06
64000000	46607	2136637440	1.55502e+06	1.5551e+06	1.55517e+06	1.55502e+06	1.55517e+06	1.55517e+06	1.55529e+06
65000000	47045	2142810112	1.57157e+06	1.57172e+06	1.57191e+06	1.57454e+06	1.57457e+06	1.57446e+06	1.57457e+06
66000000	47619	2151206912	1.57379e+06	1.57379e+06	1.57368e+06	1.57379e+06	1.57375e+06	1.57371e+06	1.57375e+06
67000000	48282	2159583232	1.57314e+06	1.57318e+06	1.57318e+06	1.57303e+06	1.57318e+06	1.57303e+06	1.57141e+06
68000000	48950	2167992320	1.57233e+06	1.57218e+06	1.57222e+06	1.57229e+06	1.57229e+06	1.57222e+06	1.57225e+06
69000000	49946	2176380928	1.55269e+06	1.55283e+06	1.5528e+06	1.55273e+06	1.55283e+06	1.5528e+06	1.55293e+06
70000000	50268	2184601600	1.57088e+06	1.57113e+06	1.57127e+06	1.57109e+06	1.57099e+06	1.57095e+06	1.57092e+06
71000000	50929	2190893056	1.57021e+06	1.57007e+06	1.57038e+06	1.57017e+06	1.57021e+06	1.57034e+06	1.57038e+06
