num-inserts	build-time	memory	query-100	query-95	query-75	query-50	query-25	query-5	query-0
1000000	881	85979136	1.54083e+06	1.53846e+06	1.54083e+06	1.54321e+06	1.53846e+06	1.53846e+06	1.54083e+06
2000000	1668	153100288	1.514e+06	1.51286e+06	1.514e+06	1.514e+06	1.51172e+06	1.514e+06	1.514e+06
3000000	2552	192950272	1.48002e+06	1.48002e+06	1.47856e+06	1.4771e+06	1.48002e+06	1.47856e+06	1.48002e+06
4000000	3485	299884544	1.47005e+06	1.47167e+06	1.47113e+06	1.47221e+06	1.47167e+06	1.47059e+06	1.47113e+06
5000000	4604	371179520	1.46757e+06	1.468e+06	1.468e+06	1.468e+06	1.46757e+06	1.46757e+06	1.46757e+06
6000000	5320	394108928	1.46234e+06	1.46234e+06	1.46234e+06	1.46163e+06	1.46234e+06	1.46234e+06	1.46234e+06
7000000	6097	534872064	1.45682e+06	1.45712e+06	1.45712e+06	1.45682e+06	1.45742e+06	1.45682e+06	1.45682e+06
8000000	7417	557686784	1.45746e+06	1.45799e+06	1.45666e+06	1.45799e+06	1.45666e+06	1.45799e+06	1.45746e+06
9000000	8134	580935680	1.4556e+06	1.45608e+06	1.4556e+06	1.45608e+06	1.45608e+06	1.45631e+06	1.4556e+06
10000000	8817	665849856	1.46113e+06	1.46177e+06	1.46028e+06	1.4622e+06	1.46113e+06	1.46177e+06	1.46156e+06
11000000	10437	812482560	1.45889e+06	1.45811e+06	1.45831e+06	1.45869e+06	1.4585e+06	1.4585e+06	1.4585e+06
12000000	11124	836694016	1.45702e+06	1.45702e+06	1.45684e+06	1.45719e+06	1.45702e+06	1.45702e+06	1.45737e+06
13000000	11826	859897856	1.45577e+06	1.45577e+06	1.45593e+06	1.45577e+06	1.45577e+06	1.45609e+06	1.45577e+06
14000000	12562	1077944320	1.4629e+06	1.4629e+06	1.46321e+06	1.46306e+06	1.46321e+06	1.46245e+06	1.46382e+06
15000000	13338	1100996608	1.45138e+06	1.45138e+06	1.45124e+06	1.45138e+06	1.45124e+06	1.45152e+06	1.45138e+06
16000000	14084	1126191104	1.43704e+06	1.4373e+06	1.4373e+06	1.43704e+06	1.43717e+06	1.4373e+06	1.43678e+06
17000000	16033	1224716288	1.45948e+06	1.4596e+06	1.45973e+06	1.45948e+06	1.4596e+06	1.4596e+06	1.4596e+06
18000000	16687	1247850496	1.46699e+06	1.46687e+06	1.46699e+06	1.46663e+06	1.46651e+06	1.46711e+06	1.46675e+06
19000000	17442	1272963072	1.45885e+06	1.45907e+06	1.45896e+06	1.45907e+06	1.45896e+06	1.45896e+06	1.45918e+06
20000000	18159	1348395008	1.45836e+06	1.45836e+06	1.45836e+06	1.45858e+06	1.45858e+06	1.45836e+06	1.45826e+06
21000000	18740	1373569024	1.47007e+06	1.46987e+06	1.46976e+06	1.46987e+06	1.47018e+06	1.47007e+06	1.46997e+06
22000000	19599	1396711424	1.45435e+06	1.45445e+06	1.45406e+06	1.45455e+06	1.45455e+06	1.45435e+06	1.45387e+06
23000000	20334	1421860864	1.45147e+06	1.4512e+06	1.45156e+06	1.45202e+06	1.45147e+06	1.45202e+06	1.45441e+06
24000000	21050	1445003264	1.4541e+06	1.4541e+06	1.4541e+06	1.45419e+06	1.4541e+06	1.45419e+06	1.4541e+06
25000000	23414	1549860864	1.47737e+06	1.47745e+06	1.47728e+06	1.47763e+06	1.47763e+06	1.47745e+06	1.47754e+06
26000000	24248	1591803904	1.46438e+06	1.46429e+06	1.46438e+06	1.46429e+06	1.46421e+06	1.46429e+06	1.46421e+06
27000000	25125	2164281344	1.46707e+06	1.46707e+06	1.46707e+06	1.46707e+06	1.46715e+06	1.46699e+06	1.46691e+06
28000000	25837	2189488128	1.46398e+06	1.46398e+06	1.46405e+06	1.46405e+06	1.46405e+06	1.46398e+06	1.46405e+06
29000000	26518	2212339712	1.46243e+06	1.46243e+06	1.46243e+06	1.46243e+06	1.46243e+06	1.46243e+06	1.46236e+06
30000000	27119	2237759488	1.47398e+06	1.47406e+06	1.47435e+06	1.4742e+06	1.47442e+06	1.4742e+06	1.47435e+06
31000000	27963	2260844544	1.46254e+06	1.46226e+06	1.46247e+06	1.46247e+06	1.46247e+06	1.4624e+06	1.46254e+06
32000000	28670	2285957120	1.46005e+06	1.46005e+06	1.46012e+06	1.46012e+06	1.46005e+06	1.45999e+06	1.46012e+06
33000000	29402	2309074944	1.4605e+06	1.46063e+06	1.46056e+06	1.46056e+06	1.46076e+06	1.46082e+06	1.46076e+06
34000000	29957	2334093312	1.47173e+06	1.47173e+06	1.47173e+06	1.47148e+06	1.47154e+06	1.47173e+06	1.47173e+06
35000000	30885	2357276672	1.4601e+06	1.45985e+06	1.4601e+06	1.46004e+06	1.46004e+06	1.4601e+06	1.45998e+06
36000000	31573	2380345344	1.45502e+06	1.45496e+06	1.45496e+06	1.45513e+06	1.45513e+06	1.45519e+06	1.45513e+06
37000000	35004	2707431424	1.4761e+06	1.47652e+06	1.47646e+06	1.47604e+06	1.47669e+06	1.47634e+06	1.47652e+06
38000000	35740	2730512384	1.47447e+06	1.47458e+06	1.47458e+06	1.47458e+06	1.47447e+06	1.47453e+06	1.47447e+06
39000000	36317	2755665920	1.47811e+06	1.47806e+06	1.47806e+06	1.478e+06	1.478e+06	1.478e+06	1.47811e+06
40000000	37133	2778775552	1.47297e+06	1.47297e+06	1.47303e+06	1.47297e+06	1.47292e+06	1.47292e+06	1.47297e+06
41000000	37741	2803912704	1.47828e+06	1.47828e+06	1.47822e+06	1.47822e+06	1.47828e+06	1.47828e+06	1.47828e+06
42000000	38415	2826907648	1.47736e+06	1.47736e+06	1.47736e+06	1.47736e+06	1.47731e+06	1.47731e+06	1.47731e+06
43000000	39152	2854064128	1.4771e+06	1.47716e+06	1.47716e+06	1.47726e+06	1.47726e+06	1.4771e+06	1.47716e+06
44000000	39831	2875125760	1.47512e+06	1.47522e+06	1.47512e+06	1.47512e+06	1.47512e+06	1.47522e+06	1.47527e+06
