num-inserts	build-time	memory	query-100	query-95	query-75	query-50	query-25	query-5	query-0
1000000	698	45735936	1.45773e+06	1.4771e+06	1.47493e+06	1.47929e+06	1.42857e+06	1.4881e+06	1.48148e+06
2000000	1570	79523840	1.39373e+06	1.38026e+06	1.39179e+06	1.38696e+06	1.38985e+06	1.39179e+06	1.38985e+06
3000000	2369	121540608	1.37112e+06	1.36924e+06	1.37112e+06	1.37174e+06	1.37112e+06	1.37237e+06	1.37049e+06
4000000	3176	150732800	1.35135e+06	1.35227e+06	1.35318e+06	1.35044e+06	1.35227e+06	1.35272e+06	1.35318e+06
5000000	3951	180256768	1.3312e+06	1.32626e+06	1.32908e+06	1.33298e+06	1.3312e+06	1.33227e+06	1.33049e+06
6000000	4937	234717184	1.35074e+06	1.34529e+06	1.35105e+06	1.35074e+06	1.35014e+06	1.35074e+06	1.35105e+06
7000000	5732	264065024	1.33997e+06	1.3369e+06	1.3428e+06	1.34202e+06	1.34254e+06	1.3428e+06	1.34125e+06
8000000	6504	293486592	1.33467e+06	1.33511e+06	1.33445e+06	1.33511e+06	1.33134e+06	1.33445e+06	1.33422e+06
9000000	7307	322854912	1.32548e+06	1.32333e+06	1.32548e+06	1.32431e+06	1.32548e+06	1.32646e+06	1.32314e+06
10000000	8123	352329728	1.31614e+06	1.31718e+06	1.31406e+06	1.31666e+06	1.31718e+06	1.31683e+06	1.31372e+06
11000000	9272	429735936	1.35719e+06	1.35702e+06	1.35468e+06	1.35685e+06	1.35802e+06	1.35752e+06	1.35468e+06
12000000	10144	459165696	1.34228e+06	1.34213e+06	1.33988e+06	1.34243e+06	1.34183e+06	1.33958e+06	1.34243e+06
13000000	10841	488525824	1.35079e+06	1.34883e+06	1.35177e+06	1.35093e+06	1.34883e+06	1.35121e+06	1.35149e+06
14000000	11580	517873664	1.34693e+06	1.31234e+06	1.29582e+06	1.33257e+06	1.34305e+06	1.33677e+06	1.33448e+06
15000000	12642	547258368	1.31487e+06	1.32019e+06	1.32333e+06	1.30867e+06	1.2754e+06	1.30457e+06	1.32708e+06
16000000	13182	576724992	1.33936e+06	1.33802e+06	1.34026e+06	1.33824e+06	1.33746e+06	1.34003e+06	1.3388e+06
17000000	14108	603987968	1.32296e+06	1.3208e+06	1.32244e+06	1.3209e+06	1.32234e+06	1.32255e+06	1.3207e+06
18000000	14777	633196544	1.3289e+06	1.33136e+06	1.33116e+06	1.32939e+06	1.33136e+06	1.329e+06	1.33166e+06
19000000	15719	662609920	1.31461e+06	1.31288e+06	1.31452e+06	1.3147e+06	1.31352e+06	1.31461e+06	1.31315e+06
20000000	16409	691867648	1.32196e+06	1.32301e+06	1.32188e+06	1.32301e+06	1.32214e+06	1.32345e+06	1.32258e+06
21000000	18256	824070144	1.31381e+06	1.34305e+06	1.34374e+06	1.34383e+06	1.34374e+06	1.34409e+06	1.34357e+06
22000000	18762	851341312	1.35593e+06	1.35577e+06	1.35602e+06	1.35568e+06	1.35577e+06	1.3556e+06	1.35593e+06
23000000	19493	880701440	1.35461e+06	1.35414e+06	1.35485e+06	1.35382e+06	1.35406e+06	1.35461e+06	1.35461e+06
24000000	20480	910172160	1.33854e+06	1.34507e+06	1.34522e+06	1.34484e+06	1.34507e+06	1.34507e+06	1.34476e+06
25000000	21110	939261952	1.34814e+06	1.34836e+06	1.34836e+06	1.35069e+06	1.35106e+06	1.35099e+06	1.35099e+06
26000000	21976	968769536	1.34159e+06	1.3418e+06	1.34138e+06	1.34173e+06	1.34159e+06	1.34152e+06	1.34173e+06
27000000	22614	995995648	1.34892e+06	1.34892e+06	1.34885e+06	1.34865e+06	1.34906e+06	1.34677e+06	1.34872e+06
28000000	23539	1025359872	1.33786e+06	1.33811e+06	1.33811e+06	1.33805e+06	1.33818e+06	1.33818e+06	1.33824e+06
29000000	24291	1054777344	1.33659e+06	1.33641e+06	1.33647e+06	1.33671e+06	1.33659e+06	1.33653e+06	1.33647e+06
30000000	24997	1081966592	1.34258e+06	1.34252e+06	1.3427e+06	1.34252e+06	1.34246e+06	1.3427e+06	1.34264e+06
31000000	25913	1111363584	1.3327e+06	1.33253e+06	1.33265e+06	1.33259e+06	1.3327e+06	1.3327e+06	1.33259e+06
32000000	26675	1140801536	1.33051e+06	1.33062e+06	1.33062e+06	1.33056e+06	1.33067e+06	1.33062e+06	1.33062e+06
33000000	27481	1167949824	1.32893e+06	1.32898e+06	1.32882e+06	1.32893e+06	1.32898e+06	1.32898e+06	1.32893e+06
