num-inserts	build-time	memory	query-100	query-95	query-75	query-50	query-25	query-5	query-0
1000000	595	45916160	1.56495e+06	1.5456e+06	1.57729e+06	1.56986e+06	1.5528e+06	1.58228e+06	1.57729e+06
2000000	1247	79519744	1.48368e+06	1.49813e+06	1.49365e+06	1.49477e+06	1.49254e+06	1.49813e+06	1.49477e+06
3000000	1848	121470976	1.4771e+06	1.46915e+06	1.42721e+06	1.41643e+06	1.43678e+06	1.43062e+06	1.45278e+06
4000000	2516	150843392	1.4477e+06	1.45666e+06	1.45507e+06	1.44248e+06	1.42248e+06	1.43369e+06	1.45826e+06
5000000	3074	180301824	1.42776e+06	1.42857e+06	1.4298e+06	1.42857e+06	1.42167e+06	1.40805e+06	1.43062e+06
6000000	3760	234831872	1.45843e+06	1.45914e+06	1.46199e+06	1.46199e+06	1.4627e+06	1.4556e+06	1.46092e+06
7000000	4369	264073216	1.39581e+06	1.42479e+06	1.45319e+06	1.43354e+06	1.42799e+06	1.45349e+06	1.45228e+06
8000000	4945	293445632	1.4373e+06	1.41168e+06	1.39762e+06	1.43369e+06	1.42883e+06	1.43215e+06	1.40845e+06
9000000	5606	322859008	1.40581e+06	1.42857e+06	1.43016e+06	1.42857e+06	1.42993e+06	1.42834e+06	1.42948e+06
10000000	6016	352272384	1.41945e+06	1.41904e+06	1.41924e+06	1.41844e+06	1.41924e+06	1.41824e+06	1.41965e+06
11000000	6906	429821952	1.451e+06	1.45234e+06	1.45138e+06	1.45176e+06	1.45195e+06	1.45176e+06	1.45253e+06
12000000	7591	459108352	1.44631e+06	1.44648e+06	1.44474e+06	1.44665e+06	1.44613e+06	1.44665e+06	1.44509e+06
13000000	8064	488513536	1.45284e+06	1.45219e+06	1.45219e+06	1.45219e+06	1.44637e+06	1.45235e+06	1.45203e+06
14000000	8605	517894144	1.45621e+06	1.45515e+06	1.4553e+06	1.45636e+06	1.45576e+06	1.45576e+06	1.4556e+06
15000000	9255	547237888	1.43982e+06	1.43954e+06	1.43954e+06	1.4394e+06	1.44023e+06	1.44037e+06	1.43982e+06
16000000	9779	576610304	1.43228e+06	1.43266e+06	1.43241e+06	1.43254e+06	1.43215e+06	1.43266e+06	1.4319e+06
17000000	10390	603856896	1.42617e+06	1.42605e+06	1.4257e+06	1.42558e+06	1.42546e+06	1.42629e+06	1.42594e+06
18000000	10928	633233408	1.41978e+06	1.41989e+06	1.42012e+06	1.41978e+06	1.41989e+06	1.41967e+06	1.42012e+06
19000000	11436	662700032	1.42354e+06	1.42343e+06	1.42322e+06	1.42354e+06	1.42365e+06	1.42343e+06	1.42365e+06
20000000	12106	691892224	1.40974e+06	1.41064e+06	1.41103e+06	1.41084e+06	1.41093e+06	1.41054e+06	1.41103e+06
21000000	13333	823910400	1.43649e+06	1.43649e+06	1.43659e+06	1.43619e+06	1.43659e+06	1.43629e+06	1.43639e+06
22000000	13897	851394560	1.43847e+06	1.43819e+06	1.43828e+06	1.43791e+06	1.43819e+06	1.43781e+06	1.43828e+06
23000000	14461	880680960	1.44572e+06	1.446e+06	1.446e+06	1.44627e+06	1.44572e+06	1.4459e+06	1.446e+06
24000000	15103	910057472	1.44239e+06	1.44213e+06	1.44248e+06	1.44274e+06	1.44239e+06	1.44248e+06	1.44265e+06
25000000	15573	939253760	1.45071e+06	1.45129e+06	1.45096e+06	1.45222e+06	1.45569e+06	1.45577e+06	1.45552e+06
26000000	16140	968617984	1.45219e+06	1.45203e+06	1.45219e+06	1.45211e+06	1.45219e+06	1.45211e+06	1.45203e+06
27000000	16688	995991552	1.45021e+06	1.45044e+06	1.45044e+06	1.45037e+06	1.45037e+06	1.45037e+06	1.45052e+06
