num-inserts	build-time	memory	query-100	query-95	query-75	query-50	query-25	query-5	query-0
1000000	764	73158656	1.40252e+06	1.39665e+06	1.36799e+06	1.36426e+06	1.34409e+06	1.37931e+06	1.3947e+06
2000000	1691	131891200	1.34048e+06	1.33779e+06	1.34228e+06	1.34048e+06	1.34138e+06	1.34048e+06	1.33511e+06
3000000	2573	203161600	1.34288e+06	1.33749e+06	1.33988e+06	1.33929e+06	1.33988e+06	1.34228e+06	1.34288e+06
4000000	3436	255725568	1.3089e+06	1.31062e+06	1.31019e+06	1.31105e+06	1.30976e+06	1.31019e+06	1.31062e+06
5000000	4244	312463360	1.30617e+06	1.30651e+06	1.30617e+06	1.30617e+06	1.30719e+06	1.30651e+06	1.30548e+06
6000000	5313	396283904	1.30862e+06	1.3069e+06	1.30862e+06	1.30804e+06	1.30833e+06	1.30804e+06	1.30833e+06
7000000	6077	450842624	1.31604e+06	1.3153e+06	1.31604e+06	1.31505e+06	1.31579e+06	1.31554e+06	1.3153e+06
8000000	6908	505368576	1.3074e+06	1.30826e+06	1.3074e+06	1.30826e+06	1.3074e+06	1.30826e+06	1.30783e+06
9000000	7759	559820800	1.30001e+06	1.30058e+06	1.30077e+06	1.29983e+06	1.30058e+06	1.30001e+06	1.29964e+06
10000000	8621	614420480	1.29266e+06	1.29299e+06	1.29216e+06	1.29333e+06	1.29232e+06	1.29266e+06	1.29299e+06
11000000	9869	759083008	1.31579e+06	1.31658e+06	1.3161e+06	1.31563e+06	1.31658e+06	1.3161e+06	1.3161e+06
12000000	10671	784195584	1.31492e+06	1.31478e+06	1.31492e+06	1.31536e+06	1.31464e+06	1.31536e+06	1.31536e+06
13000000	11485	832409600	1.31234e+06	1.31273e+06	1.31273e+06	1.31287e+06	1.31313e+06	1.31287e+06	1.31247e+06
14000000	12312	888926208	1.31086e+06	1.31111e+06	1.31148e+06	1.31197e+06	1.3148e+06	1.3148e+06	1.3148e+06
15000000	13100	943669248	1.31211e+06	1.31211e+06	1.31222e+06	1.31234e+06	1.31039e+06	1.31211e+06	1.31211e+06
16000000	13931	1000226816	1.30922e+06	1.30922e+06	1.30922e+06	1.30911e+06	1.30922e+06	1.30933e+06	1.30933e+06
17000000	14901	1054691328	1.29219e+06	1.29228e+06	1.29219e+06	1.29228e+06	1.29219e+06	1.29219e+06	1.29228e+06
18000000	15589	1107136512	1.30369e+06	1.30378e+06	1.30378e+06	1.30369e+06	1.30378e+06	1.30378e+06	1.30388e+06
19000000	16434	1163907072	1.30039e+06	1.30039e+06	1.30039e+06	1.30039e+06	1.30048e+06	1.30039e+06	1.3003e+06
20000000	17288	1218453504	1.2982e+06	1.29803e+06	1.2982e+06	1.2982e+06	1.2982e+06	1.29811e+06	1.29676e+06
21000000	18990	1482694656	1.32626e+06	1.32618e+06	1.32626e+06	1.32634e+06	1.32634e+06	1.32626e+06	1.32634e+06
22000000	20012	1505693696	1.31085e+06	1.31085e+06	1.31093e+06	1.31077e+06	1.31101e+06	1.31093e+06	1.31093e+06
23000000	20804	1530658816	1.30935e+06	1.30935e+06	1.3092e+06	1.30935e+06	1.30935e+06	1.30927e+06	1.30942e+06
24000000	21423	1553829888	1.32385e+06	1.32385e+06	1.32385e+06	1.32377e+06	1.32392e+06	1.32399e+06	1.32385e+06
25000000	22220	1602109440	1.32324e+06	1.32324e+06	1.32331e+06	1.32324e+06	1.32324e+06	1.32324e+06	1.32324e+06
26000000	23246	1654611968	1.30785e+06	1.30791e+06	1.30778e+06	1.30798e+06	1.30785e+06	1.30798e+06	1.30785e+06
27000000	23872	1709056000	1.31804e+06	1.31817e+06	1.31817e+06	1.31804e+06	1.31804e+06	1.31797e+06	1.3181e+06
28000000	24915	1765535744	1.305e+06	1.30506e+06	1.30512e+06	1.305e+06	1.305e+06	1.30518e+06	1.30506e+06
29000000	25458	1820061696	1.3177e+06	1.31782e+06	1.31788e+06	1.31776e+06	1.31776e+06	1.31788e+06	1.31782e+06
30000000	26274	1876852736	1.31718e+06	1.31694e+06	1.31706e+06	1.31712e+06	1.31712e+06	1.31712e+06	1.317e+06
31000000	27423	1931427840	1.30143e+06	1.30165e+06	1.30165e+06	1.3017e+06	1.30165e+06	1.3017e+06	1.30159e+06
32000000	27930	1988055040	1.31336e+06	1.31341e+06	1.31347e+06	1.31341e+06	1.31347e+06	1.31341e+06	1.31347e+06
33000000	28787	2042466304	1.31281e+06	1.31275e+06	1.31265e+06	1.31281e+06	1.31275e+06	1.31275e+06	1.31281e+06
34000000	29604	2098987008	1.31087e+06	1.31092e+06	1.31097e+06	1.31097e+06	1.31006e+06	1.31097e+06	1.31102e+06
35000000	30444	2151587840	1.30934e+06	1.30934e+06	1.30934e+06	1.30939e+06	1.30934e+06	1.30939e+06	1.30934e+06
36000000	31643	2206105600	1.29403e+06	1.29403e+06	1.29403e+06	1.29403e+06	1.29403e+06	1.29403e+06	1.29413e+06
37000000	32221	2262740992	1.30461e+06	1.30337e+06	1.30456e+06	1.30419e+06	1.30452e+06	1.30452e+06	1.30442e+06
38000000	33032	2317090816	1.30213e+06	1.30195e+06	1.30213e+06	1.30213e+06	1.30213e+06	1.30208e+06	1.30213e+06
39000000	33912	2373861376	1.30108e+06	1.30108e+06	1.30108e+06	1.30117e+06	1.30026e+06	1.30148e+06	1.30335e+06
40000000	34694	2428416000	1.30157e+06	1.30157e+06	1.30162e+06	1.30157e+06	1.30166e+06	1.30157e+06	1.30162e+06
