num-inserts	build-time	memory	query-100	query-95	query-75	query-50	query-25	query-5	query-0
1000000	767	73269248	1.43062e+06	1.41643e+06	1.44092e+06	1.443e+06	1.44928e+06	1.44092e+06	1.43885e+06
2000000	1576	131936256	1.38504e+06	1.37931e+06	1.38313e+06	1.37931e+06	1.38122e+06	1.38313e+06	1.36799e+06
3000000	2499	203309056	1.37363e+06	1.3624e+06	1.36364e+06	1.37112e+06	1.36674e+06	1.37363e+06	1.36054e+06
4000000	3261	255840256	1.34953e+06	1.35135e+06	1.33779e+06	1.35455e+06	1.35364e+06	1.35593e+06	1.3541e+06
5000000	4031	312414208	1.33618e+06	1.33618e+06	1.33511e+06	1.33583e+06	1.33583e+06	1.33726e+06	1.33583e+06
6000000	4983	396234752	1.37112e+06	1.36924e+06	1.37143e+06	1.36955e+06	1.37049e+06	1.37143e+06	1.37018e+06
7000000	5744	450822144	1.36213e+06	1.36319e+06	1.36452e+06	1.36266e+06	1.36293e+06	1.36372e+06	1.36187e+06
8000000	6535	505352192	1.35524e+06	1.35478e+06	1.35501e+06	1.35547e+06	1.3541e+06	1.35524e+06	1.35524e+06
9000000	7328	559824896	1.3459e+06	1.3463e+06	1.3465e+06	1.3463e+06	1.3373e+06	1.34549e+06	1.34469e+06
10000000	8213	614457344	1.32118e+06	1.32188e+06	1.32223e+06	1.32205e+06	1.3224e+06	1.32275e+06	1.321e+06
11000000	9372	759070720	1.36071e+06	1.36105e+06	1.36105e+06	1.36105e+06	1.36105e+06	1.36172e+06	1.36155e+06
12000000	10138	784310272	1.36085e+06	1.36039e+06	1.36178e+06	1.3607e+06	1.35947e+06	1.35962e+06	1.3607e+06
13000000	11012	832471040	1.3427e+06	1.34339e+06	1.34284e+06	1.34395e+06	1.34367e+06	1.34339e+06	1.34395e+06
14000000	11772	889200640	1.34745e+06	1.34409e+06	1.34849e+06	1.34836e+06	1.34888e+06	1.3481e+06	1.34875e+06
15000000	12619	943452160	1.33571e+06	1.33571e+06	1.33618e+06	1.33642e+06	1.33642e+06	1.33642e+06	1.33595e+06
16000000	13391	1000214528	1.33891e+06	1.33947e+06	1.33992e+06	1.3397e+06	1.34003e+06	1.33992e+06	1.33679e+06
17000000	14261	1054707712	1.32792e+06	1.32812e+06	1.32761e+06	1.32844e+06	1.32844e+06	1.32823e+06	1.32626e+06
18000000	15079	1107251200	1.33028e+06	1.33343e+06	1.33333e+06	1.33274e+06	1.33264e+06	1.33264e+06	1.33314e+06
19000000	15901	1163759616	1.32137e+06	1.32119e+06	1.31935e+06	1.32137e+06	1.32119e+06	1.32064e+06	1.32091e+06
20000000	16731	1218330624	1.31726e+06	1.3177e+06	1.31735e+06	1.31709e+06	1.317e+06	1.31726e+06	1.31683e+06
21000000	18446	1482600448	1.34719e+06	1.34719e+06	1.34693e+06	1.34676e+06	1.34693e+06	1.34745e+06	1.33732e+06
22000000	19206	1505742848	1.3454e+06	1.34524e+06	1.34573e+06	1.34515e+06	1.3454e+06	1.34491e+06	1.34491e+06
23000000	19972	1530822656	1.35103e+06	1.35135e+06	1.35088e+06	1.35088e+06	1.35151e+06	1.35088e+06	1.35088e+06
24000000	20773	1553874944	1.34198e+06	1.34168e+06	1.34206e+06	1.34206e+06	1.34161e+06	1.34243e+06	1.34371e+06
25000000	21542	1602060288	1.34293e+06	1.34286e+06	1.34279e+06	1.34279e+06	1.34286e+06	1.34308e+06	1.34286e+06
26000000	22203	1654562816	1.34988e+06	1.34988e+06	1.34995e+06	1.34995e+06	1.34974e+06	1.34981e+06	1.34967e+06
27000000	23127	1708912640	1.33955e+06	1.33962e+06	1.33982e+06	1.33988e+06	1.33975e+06	1.33988e+06	1.33975e+06
28000000	23764	1765777408	1.34609e+06	1.34602e+06	1.34596e+06	1.34583e+06	1.34628e+06	1.34628e+06	1.34641e+06
29000000	24800	1820184576	1.33585e+06	1.33591e+06	1.33597e+06	1.33597e+06	1.33579e+06	1.33616e+06	1.33616e+06
30000000	25483	1876824064	1.33434e+06	1.33428e+06	1.33434e+06	1.33422e+06	1.3341e+06	1.33399e+06	1.33404e+06
31000000	26161	1931378688	1.34077e+06	1.34066e+06	1.3406e+06	1.34089e+06	1.34083e+06	1.34066e+06	1.34048e+06
32000000	27132	1987837952	1.33078e+06	1.33078e+06	1.3304e+06	1.33062e+06	1.33062e+06	1.33056e+06	1.33084e+06
33000000	27950	2042585088	1.32781e+06	1.32797e+06	1.32824e+06	1.32818e+06	1.32802e+06	1.32802e+06	1.32829e+06
34000000	28719	2097025024	1.32698e+06	1.32698e+06	1.32693e+06	1.3273e+06	1.32719e+06	1.32709e+06	1.32719e+06
35000000	29533	2151682048	1.32495e+06	1.32521e+06	1.32526e+06	1.32526e+06	1.32516e+06	1.32521e+06	1.32511e+06
36000000	30348	2206179328	1.32324e+06	1.32319e+06	1.32324e+06	1.32329e+06	1.32348e+06	1.32333e+06	1.32338e+06
37000000	31002	2262695936	1.32883e+06	1.32869e+06	1.32893e+06	1.32917e+06	1.32898e+06	1.32883e+06	1.32898e+06
