num-inserts	build-time	memory	query-100	query-95	query-75	query-50	query-25	query-5	query-0
1000000	719	47472640	1.68634e+06	1.69779e+06	1.69779e+06	1.69205e+06	1.67504e+06	1.69205e+06	1.68919e+06
2000000	1330	70696960	1.6488e+06	1.6488e+06	1.64339e+06	1.65017e+06	1.65017e+06	1.65153e+06	1.65017e+06
3000000	2020	100016128	1.61464e+06	1.61725e+06	1.619e+06	1.61987e+06	1.61725e+06	1.61725e+06	1.61812e+06
4000000	2843	140042240	1.6e+06	1.60064e+06	1.6e+06	1.60128e+06	1.59808e+06	1.60128e+06	1.6e+06
5000000	3768	194580480	1.58932e+06	1.59134e+06	1.59084e+06	1.59084e+06	1.59185e+06	1.58932e+06	1.59134e+06
6000000	4422	200839168	1.58395e+06	1.58479e+06	1.5852e+06	1.58479e+06	1.58311e+06	1.5852e+06	1.58479e+06
7000000	5115	209100800	1.59381e+06	1.59344e+06	1.59236e+06	1.59381e+06	1.59308e+06	1.59236e+06	1.59163e+06
8000000	5965	286957568	1.57635e+06	1.57635e+06	1.57542e+06	1.57635e+06	1.57573e+06	1.57635e+06	1.57635e+06
9000000	6570	295071744	1.59067e+06	1.58954e+06	1.59039e+06	1.58983e+06	1.59011e+06	1.59067e+06	1.58983e+06
10000000	7276	303652864	1.56789e+06	1.56863e+06	1.56838e+06	1.56838e+06	1.56789e+06	1.56887e+06	1.56838e+06
11000000	8522	416899072	1.59259e+06	1.59213e+06	1.59236e+06	1.5919e+06	1.59236e+06	1.59213e+06	1.59236e+06
12000000	9239	425271296	1.57274e+06	1.57295e+06	1.57253e+06	1.57315e+06	1.57253e+06	1.57274e+06	1.57295e+06
13000000	9897	433557504	1.5657e+06	1.56645e+06	1.56627e+06	1.56627e+06	1.56608e+06	1.56627e+06	1.56664e+06
14000000	10508	441946112	1.5632e+06	1.56372e+06	1.56372e+06	1.56337e+06	1.56355e+06	1.56372e+06	1.5632e+06
15000000	11175	450383872	1.56104e+06	1.56152e+06	1.56055e+06	1.56055e+06	1.56071e+06	1.56104e+06	1.56087e+06
16000000	11894	458924032	1.55991e+06	1.56021e+06	1.56006e+06	1.56037e+06	1.56021e+06	1.56021e+06	1.56037e+06
17000000	12904	624484352	1.56451e+06	1.56423e+06	1.56466e+06	1.56451e+06	1.56495e+06	1.56538e+06	1.56495e+06
18000000	13521	632877056	1.56291e+06	1.56291e+06	1.56304e+06	1.56304e+06	1.56304e+06	1.56304e+06	1.56304e+06
19000000	14150	641175552	1.58096e+06	1.58096e+06	1.58123e+06	1.58096e+06	1.58083e+06	1.58109e+06	1.58109e+06
20000000	14885	649666560	1.55921e+06	1.55933e+06	1.55945e+06	1.55933e+06	1.55945e+06	1.55909e+06	1.55933e+06
21000000	15465	658046976	1.57622e+06	1.57741e+06	1.57752e+06	1.57752e+06	1.57764e+06	1.57776e+06	1.57776e+06
22000000	16243	664387584	1.554e+06	1.55389e+06	1.55378e+06	1.55367e+06	1.55444e+06	1.554e+06	1.55378e+06
23000000	16885	672681984	1.55101e+06	1.55143e+06	1.55143e+06	1.55101e+06	1.55112e+06	1.55122e+06	1.55112e+06
24000000	17530	681140224	1.55219e+06	1.55179e+06	1.55229e+06	1.55209e+06	1.55229e+06	1.55229e+06	1.55209e+06
25000000	18717	928485376	1.56201e+06	1.56201e+06	1.56172e+06	1.56162e+06	1.56191e+06	1.56191e+06	1.56172e+06
26000000	19282	936988672	1.58305e+06	1.58305e+06	1.58305e+06	1.58315e+06	1.58315e+06	1.58295e+06	1.58305e+06
27000000	20061	943276032	1.55889e+06	1.55889e+06	1.55835e+06	1.55889e+06	1.5588e+06	1.55871e+06	1.55862e+06
28000000	20687	951582720	1.55729e+06	1.55737e+06	1.55737e+06	1.55737e+06	1.55746e+06	1.5572e+06	1.55755e+06
29000000	21281	960024576	1.57352e+06	1.57318e+06	1.57369e+06	1.57309e+06	1.57378e+06	1.57369e+06	1.57301e+06
30000000	22048	968323072	1.55594e+06	1.55577e+06	1.55537e+06	1.55561e+06	1.55553e+06	1.55561e+06	1.55561e+06
31000000	22558	976715776	1.57432e+06	1.5744e+06	1.57456e+06	1.57432e+06	1.5744e+06	1.57464e+06	1.57464e+06
32000000	23375	985251840	1.5531e+06	1.55347e+06	1.55325e+06	1.55362e+06	1.55332e+06	1.5534e+06	1.55355e+06
33000000	23943	991596544	1.56978e+06	1.57001e+06	1.56956e+06	1.56993e+06	1.57016e+06	1.56949e+06	1.57008e+06
