num-inserts	build-time	memory	query-100	query-95	query-75	query-50	query-25	query-5	query-0
1000000	865	85962752	1.53139e+06	1.53846e+06	1.53139e+06	1.49477e+06	1.51976e+06	1.49925e+06	1.47493e+06
2000000	1698	153141248	1.49254e+06	1.49589e+06	1.49031e+06	1.49365e+06	1.49589e+06	1.49142e+06	1.49365e+06
3000000	2566	192868352	1.47638e+06	1.47783e+06	1.47856e+06	1.47783e+06	1.4771e+06	1.47638e+06	1.47856e+06
4000000	3501	299900928	1.47929e+06	1.47984e+06	1.47765e+06	1.47874e+06	1.4782e+06	1.47929e+06	1.47929e+06
5000000	4622	371040256	1.46585e+06	1.46585e+06	1.46499e+06	1.46671e+06	1.46585e+06	1.46671e+06	1.46585e+06
6000000	5310	394276864	1.47023e+06	1.46915e+06	1.46951e+06	1.47095e+06	1.46951e+06	1.47023e+06	1.46987e+06
7000000	6138	534736896	1.45289e+06	1.45198e+06	1.45319e+06	1.45349e+06	1.45168e+06	1.45258e+06	1.45228e+06
8000000	7418	557686784	1.45455e+06	1.45534e+06	1.45507e+06	1.45455e+06	1.45481e+06	1.45481e+06	1.45455e+06
9000000	8134	580980736	1.45302e+06	1.45161e+06	1.45091e+06	1.45044e+06	1.45185e+06	1.44951e+06	1.45114e+06
10000000	8857	665903104	1.45075e+06	1.45054e+06	1.44928e+06	1.45012e+06	1.44991e+06	1.45075e+06	1.45012e+06
11000000	10468	812658688	1.45618e+06	1.45715e+06	1.45715e+06	1.45676e+06	1.45695e+06	1.45734e+06	1.45637e+06
12000000	11156	836771840	1.45543e+06	1.4556e+06	1.45578e+06	1.45543e+06	1.4556e+06	1.45666e+06	1.45578e+06
13000000	11822	859824128	1.45398e+06	1.4543e+06	1.45365e+06	1.45381e+06	1.45463e+06	1.45349e+06	1.45365e+06
14000000	12612	1077882880	1.45304e+06	1.45349e+06	1.45243e+06	1.45289e+06	1.45258e+06	1.45289e+06	1.45515e+06
15000000	13297	1101045760	1.45589e+06	1.45589e+06	1.45617e+06	1.45631e+06	1.45589e+06	1.45589e+06	1.45603e+06
16000000	13963	1126232064	1.46212e+06	1.46199e+06	1.46212e+06	1.46226e+06	1.46239e+06	1.46226e+06	1.46239e+06
17000000	15952	1224830976	1.47186e+06	1.47199e+06	1.47199e+06	1.47212e+06	1.47237e+06	1.47224e+06	1.4725e+06
18000000	16718	1247825920	1.46056e+06	1.46033e+06	1.45997e+06	1.46056e+06	1.46068e+06	1.46056e+06	1.46068e+06
19000000	17395	1272913920	1.46413e+06	1.46402e+06	1.46413e+06	1.46402e+06	1.4639e+06	1.4639e+06	1.46368e+06
20000000	18024	1348534272	1.47362e+06	1.47351e+06	1.47373e+06	1.47384e+06	1.47384e+06	1.47373e+06	1.47362e+06
21000000	18789	1373638656	1.4628e+06	1.4628e+06	1.4627e+06	1.4629e+06	1.4628e+06	1.4624e+06	1.4629e+06
22000000	19535	1396543488	1.46218e+06	1.46218e+06	1.46218e+06	1.46189e+06	1.46199e+06	1.46179e+06	1.46209e+06
23000000	20292	1421934592	1.45468e+06	1.45478e+06	1.45422e+06	1.45505e+06	1.45487e+06	1.45459e+06	1.45478e+06
24000000	20980	1445048320	1.45897e+06	1.45932e+06	1.45923e+06	1.45906e+06	1.45906e+06	1.45897e+06	1.45897e+06
25000000	23440	1550827520	1.48131e+06	1.48139e+06	1.48139e+06	1.48166e+06	1.48104e+06	1.48113e+06	1.48122e+06
26000000	24188	1591717888	1.47159e+06	1.47159e+06	1.4715e+06	1.47142e+06	1.47167e+06	1.47092e+06	1.47134e+06
27000000	25080	2164105216	1.47083e+06	1.47075e+06	1.47075e+06	1.47051e+06	1.47043e+06	1.47051e+06	1.47059e+06
28000000	25776	2189266944	1.46951e+06	1.46974e+06	1.47012e+06	1.47028e+06	1.46997e+06	1.46997e+06	1.4702e+06
29000000	26454	2212511744	1.4694e+06	1.46932e+06	1.46962e+06	1.4694e+06	1.46947e+06	1.46895e+06	1.46895e+06
30000000	27053	2237607936	1.47878e+06	1.47871e+06	1.47863e+06	1.47856e+06	1.47842e+06	1.47849e+06	1.47863e+06
31000000	27893	2260570112	1.46759e+06	1.46759e+06	1.46773e+06	1.4678e+06	1.46787e+06	1.46773e+06	1.46808e+06
32000000	28592	2285731840	1.46607e+06	1.46587e+06	1.46601e+06	1.46641e+06	1.46634e+06	1.46634e+06	1.46634e+06
33000000	29164	2308800512	1.47512e+06	1.47526e+06	1.47394e+06	1.47519e+06	1.47493e+06	1.47466e+06	1.47479e+06
34000000	30061	2334212096	1.46425e+06	1.46432e+06	1.46451e+06	1.46463e+06	1.46444e+06	1.46425e+06	1.46432e+06
35000000	30773	2357039104	1.46297e+06	1.46272e+06	1.4626e+06	1.46278e+06	1.46303e+06	1.46303e+06	1.46297e+06
36000000	31381	2380242944	1.47023e+06	1.47011e+06	1.46999e+06	1.47011e+06	1.46987e+06	1.46969e+06	1.46933e+06
37000000	35006	2707431424	1.47316e+06	1.47316e+06	1.47311e+06	1.47305e+06	1.47316e+06	1.47322e+06	1.47311e+06
38000000	35563	2731388928	1.48461e+06	1.48478e+06	1.48507e+06	1.48525e+06	1.48501e+06	1.4849e+06	1.48478e+06
39000000	36440	2755678208	1.47348e+06	1.47381e+06	1.47409e+06	1.47392e+06	1.47403e+06	1.47409e+06	1.47381e+06
40000000	37093	2778710016	1.47227e+06	1.47227e+06	1.47265e+06	1.47286e+06	1.47281e+06	1.47259e+06	1.47254e+06
41000000	37831	2803834880	1.47233e+06	1.47249e+06	1.47265e+06	1.4726e+06	1.47265e+06	1.47286e+06	1.47223e+06
42000000	38512	2826891264	1.47219e+06	1.47229e+06	1.47234e+06	1.47203e+06	1.47203e+06	1.47219e+06	1.47224e+06
43000000	39397	2852192256	1.46418e+06	1.46408e+06	1.46373e+06	1.46393e+06	1.46368e+06	1.46443e+06	1.46403e+06
44000000	39899	2875277312	1.46951e+06	1.46956e+06	1.46946e+06	1.46956e+06	1.46931e+06	1.4697e+06	1.46951e+06
45000000	40467	2898223104	1.48012e+06	1.48007e+06	1.48002e+06	1.47953e+06	1.47948e+06	1.47934e+06	1.47983e+06
46000000	41323	2924597248	1.46923e+06	1.46909e+06	1.46894e+06	1.46899e+06	1.46965e+06	1.46932e+06	1.46909e+06
47000000	42078	2946445312	1.46926e+06	1.46926e+06	1.46944e+06	1.46948e+06	1.46953e+06	1.46912e+06	1.46903e+06
48000000	42777	2971643904	1.46852e+06	1.46852e+06	1.46856e+06	1.46852e+06	1.46874e+06	1.46874e+06	1.46852e+06
49000000	43497	2994741248	1.46759e+06	1.46781e+06	1.46764e+06	1.4679e+06	1.46737e+06	1.46746e+06	1.46786e+06
50000000	44288	3019907072	1.46229e+06	1.46207e+06	1.46212e+06	1.46267e+06	1.46267e+06	1.46276e+06	1.46276e+06
51000000	44933	3042947072	1.46442e+06	1.46476e+06	1.46468e+06	1.46476e+06	1.46476e+06	1.46409e+06	1.46438e+06
52000000	45671	3068141568	1.46491e+06	1.4652e+06	1.4652e+06	1.46508e+06	1.46483e+06	1.46466e+06	1.46487e+06
53000000	46541	3091181568	1.45977e+06	1.45997e+06	1.4601e+06	1.4601e+06	1.45993e+06	1.45973e+06	1.4601e+06
54000000	47971	4102103040	1.4327e+06	1.43301e+06	1.4327e+06	1.43667e+06	1.4316e+06	1.4356e+06	1.43331e+06
55000000	53040	4127027200	1.44478e+06	1.44497e+06	1.44429e+06	1.44828e+06	1.4441e+06	1.44863e+06	1.44368e+06
56000000	53523	4147892224	1.45172e+06	1.45157e+06	1.45594e+06	1.45176e+06	1.45564e+06	1.4513e+06	1.45572e+06
57000000	54326	4175486976	1.44736e+06	1.44751e+06	1.45197e+06	1.44725e+06	1.45064e+06	1.44784e+06	1.44769e+06
58000000	55039	4196155392	1.44386e+06	1.44491e+06	1.44711e+06	1.44545e+06	1.44404e+06	1.44895e+06	1.44519e+06
59000000	55819	4223467520	1.44618e+06	1.44657e+06	1.45063e+06	1.4453e+06	1.44693e+06	1.45006e+06	1.44675e+06
60000000	56586	4244434944	1.44027e+06	1.4413e+06	1.44498e+06	1.4453e+06	1.44429e+06	1.44854e+06	1.44383e+06
61000000	57527	4271730688	1.43729e+06	1.43753e+06	1.43966e+06	1.43943e+06	1.43797e+06	1.44201e+06	1.43705e+06
62000000	58404	4294684672	1.43905e+06	1.43771e+06	1.43852e+06	1.44213e+06	1.43801e+06	1.43935e+06	1.44139e+06
63000000	59070	4318081024	1.43882e+06	1.43734e+06	1.43842e+06	1.44138e+06	1.43895e+06	1.43859e+06	1.44072e+06
64000000	59912	4343234560	1.43801e+06	1.4382e+06	1.43872e+06	1.44199e+06	1.43785e+06	1.43895e+06	1.44147e+06
65000000	60428	4366098432	1.44583e+06	1.44586e+06	1.44692e+06	1.44902e+06	1.4466e+06	1.44608e+06	1.44831e+06
66000000	61563	4390285312	1.43189e+06	1.4308e+06	1.43251e+06	1.42629e+06	1.42515e+06	1.43105e+06	1.43201e+06
67000000	62451	4414275584	1.43401e+06	1.43657e+06	1.43987e+06	1.43586e+06	1.43678e+06	1.43971e+06	1.43521e+06
68000000	63526	4439457792	1.42444e+06	1.42561e+06	1.42573e+06	1.42364e+06	1.42662e+06	1.42579e+06	1.42737e+06
69000000	64022	4462698496	1.43368e+06	1.43454e+06	1.43762e+06	1.43287e+06	1.43418e+06	1.43603e+06	1.43538e+06
70000000	65138	4487802880	1.42517e+06	1.42572e+06	1.42872e+06	1.42468e+06	1.42528e+06	1.42688e+06	1.42805e+06
71000000	65546	4510732288	1.43324e+06	1.43463e+06	1.43681e+06	1.43368e+06	1.43437e+06	1.43565e+06	1.43527e+06
72000000	66358	4534042624	1.43121e+06	1.43209e+06	1.43446e+06	1.43064e+06	1.43104e+06	1.43221e+06	1.43472e+06
73000000	67635	4559122432	1.41855e+06	1.41844e+06	1.42012e+06	1.42115e+06	1.41836e+06	1.41858e+06	1.41963e+06
74000000	68418	4583174144	1.4183e+06	1.41915e+06	1.42103e+06	1.41901e+06	1.41844e+06	1.41907e+06	1.42059e+06
75000000	68794	4605116416	1.42442e+06	1.42496e+06	1.42537e+06	1.42738e+06	1.42545e+06	1.4248e+06	1.42456e+06
76000000	69969	4630405120	1.41765e+06	1.4177e+06	1.41881e+06	1.41897e+06	1.41934e+06	1.41762e+06	1.41799e+06
77000000	70353	4655349760	1.42809e+06	1.42802e+06	1.42862e+06	1.42862e+06	1.43038e+06	1.42804e+06	1.42809e+06
78000000	71110	4676591616	1.42653e+06	1.42716e+06	1.42815e+06	1.42823e+06	1.42302e+06	1.42271e+06	1.42266e+06
79000000	72464	5133676544	1.41559e+06	1.41577e+06	1.41539e+06	1.41663e+06	1.41638e+06	1.41824e+06	1.41643e+06
80000000	73542	5154553856	1.41273e+06	1.413e+06	1.41285e+06	1.41378e+06	1.41475e+06	1.4144e+06	1.41285e+06
81000000	74165	5179600896	1.4147e+06	1.4147e+06	1.41443e+06	1.41589e+06	1.41598e+06	1.4167e+06	1.4145e+06
82000000	83350	6047617024	1.38222e+06	1.38511e+06	1.38345e+06	1.38268e+06	1.38254e+06	1.38313e+06	1.38521e+06
83000000	84144	6072909824	1.38225e+06	1.38126e+06	1.38101e+06	1.38108e+06	1.38089e+06	1.38064e+06	1.38105e+06
84000000	84858	6097899520	1.37859e+06	1.37872e+06	1.37881e+06	1.37902e+06	1.37868e+06	1.37976e+06	1.38004e+06
85000000	85753	6117412864	1.37659e+06	1.37667e+06	1.37681e+06	1.37676e+06	1.37665e+06	1.3769e+06	1.37728e+06
86000000	86367	6142464000	1.38875e+06	1.38784e+06	1.38221e+06	1.38206e+06	1.38201e+06	1.38164e+06	1.38226e+06
87000000	87817	6165696512	1.37153e+06	1.37146e+06	1.37103e+06	1.37122e+06	1.37402e+06	1.37673e+06	1.37687e+06
88000000	87894	6192828416	1.38876e+06	1.38874e+06	1.38876e+06	1.3886e+06	1.38863e+06	1.38867e+06	1.38849e+06
89000000	89194	6213652480	1.37579e+06	1.37507e+06	1.37541e+06	1.37481e+06	1.37481e+06	1.3746e+06	1.37505e+06
90000000	89403	6236930048	1.37145e+06	1.37147e+06	1.37172e+06	1.37153e+06	1.37162e+06	1.37174e+06	1.37149e+06
91000000	90225	6262018048	1.36193e+06	1.36197e+06	1.36168e+06	1.36168e+06	1.36274e+06	1.36189e+06	1.36183e+06
92000000	91293	6285377536	1.3699e+06	1.37011e+06	1.37009e+06	1.36999e+06	1.37019e+06	1.36992e+06	1.36982e+06
93000000	91513	6310219776	1.38208e+06	1.38208e+06	1.38251e+06	1.38212e+06	1.38239e+06	1.38197e+06	1.38193e+06
94000000	92974	6335270912	1.37014e+06	1.37012e+06	1.37022e+06	1.36978e+06	1.36994e+06	1.37014e+06	1.36994e+06
95000000	93921	6360547328	1.37117e+06	1.37012e+06	1.37135e+06	1.37022e+06	1.37085e+06	1.37069e+06	1.37103e+06
96000000	94434	6381608960	1.3782e+06	1.37818e+06	1.37705e+06	1.37676e+06	1.37709e+06	1.37719e+06	1.37824e+06
97000000	95826	6406815744	1.36689e+06	1.36672e+06	1.36572e+06	1.36562e+06	1.36522e+06	1.36518e+06	1.3657e+06
98000000	96051	6429904896	1.38069e+06	1.38085e+06	1.38017e+06	1.37999e+06	1.3804e+06	1.38028e+06	1.38096e+06
99000000	97452	6452928512	1.36926e+06	1.36835e+06	1.36687e+06	1.36841e+06	1.36856e+06	1.36763e+06	1.36529e+06
100000000	92661	6482137088	1.4429e+06	1.44186e+06	1.44198e+06	1.44105e+06	1.44136e+06	1.44175e+06	1.44132e+06
