num-inserts	build-time	memory	query-100	query-95	query-75	query-50	query-25	query-5	query-0
1000000	743	45735936	1.46843e+06	1.48148e+06	1.48148e+06	1.47929e+06	1.49031e+06	1.4771e+06	1.48588e+06
2000000	1544	79286272	1.40154e+06	1.40746e+06	1.39567e+06	1.40252e+06	1.39567e+06	1.40252e+06	1.39567e+06
3000000	2419	121368576	1.37931e+06	1.37363e+06	1.37804e+06	1.37615e+06	1.37615e+06	1.36924e+06	1.37489e+06
4000000	3144	150802432	1.3587e+06	1.35777e+06	1.35823e+06	1.35685e+06	1.35823e+06	1.35823e+06	1.35685e+06
5000000	3959	180244480	1.35026e+06	1.35026e+06	1.35062e+06	1.34916e+06	1.35099e+06	1.35062e+06	1.34735e+06
6000000	4955	234754048	1.35655e+06	1.35655e+06	1.35777e+06	1.35839e+06	1.35655e+06	1.35839e+06	1.35747e+06
7000000	5688	263979008	1.35083e+06	1.34979e+06	1.35057e+06	1.35031e+06	1.35005e+06	1.35031e+06	1.34953e+06
8000000	6471	293486592	1.34138e+06	1.34161e+06	1.34138e+06	1.34228e+06	1.34273e+06	1.34138e+06	1.34228e+06
9000000	7272	322854912	1.34348e+06	1.34288e+06	1.34268e+06	1.34308e+06	1.34268e+06	1.34368e+06	1.34248e+06
10000000	8132	352169984	1.32223e+06	1.32363e+06	1.32188e+06	1.3231e+06	1.32223e+06	1.32433e+06	1.32485e+06
11000000	9295	429756416	1.35102e+06	1.35135e+06	1.35152e+06	1.35119e+06	1.35152e+06	1.35085e+06	1.35185e+06
12000000	10028	459231232	1.35777e+06	1.35839e+06	1.35839e+06	1.35793e+06	1.35793e+06	1.35793e+06	1.35808e+06
13000000	10878	488562688	1.34464e+06	1.34562e+06	1.34506e+06	1.34492e+06	1.34478e+06	1.34534e+06	1.34492e+06
14000000	11580	518004736	1.35109e+06	1.35057e+06	1.3507e+06	1.35096e+06	1.35083e+06	1.35031e+06	1.35279e+06
15000000	12420	547311616	1.34108e+06	1.3412e+06	1.34132e+06	1.34108e+06	1.34108e+06	1.34108e+06	1.3412e+06
16000000	13171	576536576	1.33701e+06	1.33712e+06	1.33723e+06	1.33723e+06	1.33712e+06	1.33735e+06	1.33712e+06
17000000	13910	603983872	1.34398e+06	1.3443e+06	1.34377e+06	1.34398e+06	1.34409e+06	1.34387e+06	1.33806e+06
18000000	14817	633225216	1.32881e+06	1.329e+06	1.3289e+06	1.3291e+06	1.329e+06	1.329e+06	1.3291e+06
19000000	15570	662577152	1.32487e+06	1.32487e+06	1.32506e+06	1.32487e+06	1.32497e+06	1.32506e+06	1.32506e+06
20000000	16393	691916800	1.32074e+06	1.32074e+06	1.321e+06	1.321e+06	1.321e+06	1.32083e+06	1.321e+06
21000000	17967	824037376	1.35975e+06	1.35993e+06	1.36002e+06	1.35984e+06	1.35975e+06	1.35984e+06	1.35984e+06
22000000	18824	851316736	1.3506e+06	1.35069e+06	1.35027e+06	1.35052e+06	1.35052e+06	1.3506e+06	1.3506e+06
