num-inserts	build-time	memory	query-100	query-95	query-75	query-50	query-25	query-5	query-0
1000000	615	45727744	1.56495e+06	1.50376e+06	1.55763e+06	1.49701e+06	1.49254e+06	1.57233e+06	1.5674e+06
2000000	1253	79446016	1.48148e+06	1.48038e+06	1.5015e+06	1.47929e+06	1.4782e+06	1.48478e+06	1.49254e+06
3000000	1878	121454592	1.49328e+06	1.49328e+06	1.49254e+06	1.48883e+06	1.49328e+06	1.49105e+06	1.49402e+06
4000000	2460	150839296	1.46092e+06	1.46199e+06	1.46199e+06	1.46145e+06	1.46359e+06	1.46039e+06	1.46199e+06
5000000	2997	180252672	1.44383e+06	1.44259e+06	1.443e+06	1.44383e+06	1.443e+06	1.44175e+06	1.44425e+06
6000000	3767	234799104	1.45879e+06	1.45985e+06	1.4595e+06	1.4595e+06	1.45879e+06	1.45985e+06	1.4595e+06
7000000	4299	264138752	1.45712e+06	1.45621e+06	1.45591e+06	1.45621e+06	1.45591e+06	1.45651e+06	1.45651e+06
8000000	4876	293552128	1.44222e+06	1.4417e+06	1.44274e+06	1.44248e+06	1.44118e+06	1.44274e+06	1.44144e+06
9000000	5433	322830336	1.43541e+06	1.43564e+06	1.43518e+06	1.43472e+06	1.43495e+06	1.43586e+06	1.43518e+06
10000000	6048	352198656	1.41844e+06	1.41864e+06	1.41884e+06	1.41965e+06	1.41844e+06	1.41945e+06	1.41904e+06
11000000	6927	429752320	1.44414e+06	1.44414e+06	1.44395e+06	1.44376e+06	1.44414e+06	1.44376e+06	1.44395e+06
12000000	7460	459280384	1.45631e+06	1.45666e+06	1.45613e+06	1.45666e+06	1.45666e+06	1.45666e+06	1.45649e+06
13000000	8108	488370176	1.45235e+06	1.45203e+06	1.45268e+06	1.45235e+06	1.45235e+06	1.45284e+06	1.45235e+06
14000000	8646	517861376	1.44703e+06	1.44718e+06	1.44703e+06	1.44658e+06	1.44718e+06	1.44718e+06	1.44688e+06
15000000	9227	547090432	1.43954e+06	1.44009e+06	1.4394e+06	1.43968e+06	1.43926e+06	1.43913e+06	1.43968e+06
16000000	9739	576585728	1.4404e+06	1.44079e+06	1.44053e+06	1.44118e+06	1.44053e+06	1.44118e+06	1.4404e+06
17000000	10391	603901952	1.42558e+06	1.4257e+06	1.42594e+06	1.42582e+06	1.42582e+06	1.42857e+06	1.43049e+06
18000000	10922	633221120	1.42473e+06	1.4245e+06	1.42405e+06	1.42461e+06	1.42461e+06	1.42461e+06	1.42461e+06
19000000	11460	662704128	1.41918e+06	1.41908e+06	1.41939e+06	1.41929e+06	1.41908e+06	1.41939e+06	1.41918e+06
20000000	12051	691957760	1.41393e+06	1.41393e+06	1.41413e+06	1.41403e+06	1.41393e+06	1.41403e+06	1.41413e+06
21000000	13293	824016896	1.44053e+06	1.44043e+06	1.44013e+06	1.44063e+06	1.44053e+06	1.44043e+06	1.44053e+06
22000000	13851	851243008	1.44291e+06	1.44272e+06	1.44281e+06	1.44272e+06	1.44281e+06	1.44291e+06	1.44281e+06
23000000	14315	880807936	1.45266e+06	1.45275e+06	1.45275e+06	1.45303e+06	1.45285e+06	1.45285e+06	1.45294e+06
24000000	15009	910061568	1.44709e+06	1.44735e+06	1.44727e+06	1.44718e+06	1.44387e+06	1.44709e+06	1.44727e+06
25000000	15452	939257856	1.4573e+06	1.4573e+06	1.45713e+06	1.4573e+06	1.4573e+06	1.45756e+06	1.45764e+06
26000000	16170	968617984	1.45154e+06	1.45178e+06	1.45178e+06	1.45187e+06	1.45195e+06	1.45187e+06	1.45178e+06
27000000	16566	995872768	1.45836e+06	1.45859e+06	1.45851e+06	1.45851e+06	1.45875e+06	1.45859e+06	1.45875e+06
28000000	17299	1025392640	1.44606e+06	1.44598e+06	1.44598e+06	1.44598e+06	1.44606e+06	1.44591e+06	1.44606e+06
29000000	17805	1054818304	1.44833e+06	1.44833e+06	1.44855e+06	1.44819e+06	1.44884e+06	1.44841e+06	1.44855e+06
30000000	18452	1082036224	1.43878e+06	1.43899e+06	1.43906e+06	1.43899e+06	1.43885e+06	1.43899e+06	1.43906e+06
31000000	18996	1111343104	1.43552e+06	1.43333e+06	1.43545e+06	1.43552e+06	1.43565e+06	1.43545e+06	1.43545e+06
32000000	19565	1140649984	1.43209e+06	1.43215e+06	1.43228e+06	1.43215e+06	1.43228e+06	1.43228e+06	1.43234e+06
33000000	20146	1167994880	1.42863e+06	1.42876e+06	1.42888e+06	1.42876e+06	1.42876e+06	1.42876e+06	1.42882e+06
34000000	20548	1197305856	1.43375e+06	1.43381e+06	1.43393e+06	1.43399e+06	1.43393e+06	1.43399e+06	1.43387e+06
35000000	21299	1226670080	1.42288e+06	1.42288e+06	1.4208e+06	1.42294e+06	1.42288e+06	1.423e+06	1.42288e+06
36000000	21680	1256071168	1.42795e+06	1.42789e+06	1.42806e+06	1.42806e+06	1.42783e+06	1.42812e+06	1.42783e+06
37000000	22443	1285431296	1.41708e+06	1.4173e+06	1.41724e+06	1.4173e+06	1.41724e+06	1.4173e+06	1.41735e+06
38000000	22795	1312698368	1.42274e+06	1.42263e+06	1.42274e+06	1.42269e+06	1.42274e+06	1.42035e+06	1.42541e+06
39000000	23332	1342013440	1.42025e+06	1.42035e+06	1.42035e+06	1.42035e+06	1.4204e+06	1.4203e+06	1.4203e+06
40000000	24126	1371459584	1.41029e+06	1.41029e+06	1.41044e+06	1.41054e+06	1.41034e+06	1.41064e+06	1.41064e+06
41000000	24589	1398722560	1.41365e+06	1.41374e+06	1.41428e+06	1.41594e+06	1.41589e+06	1.41604e+06	1.41599e+06
42000000	26697	1637609472	1.43772e+06	1.43762e+06	1.43772e+06	1.43786e+06	1.43811e+06	1.43811e+06	1.43821e+06
43000000	27194	1666965504	1.43702e+06	1.4388e+06	1.4389e+06	1.43885e+06	1.43885e+06	1.4389e+06	1.4388e+06
44000000	27785	1694302208	1.44003e+06	1.44003e+06	1.43993e+06	1.43993e+06	1.43998e+06	1.43984e+06	1.43998e+06
45000000	28367	1723748352	1.44088e+06	1.44101e+06	1.44101e+06	1.44106e+06	1.44111e+06	1.43959e+06	1.43683e+06
46000000	29006	1753223168	1.43746e+06	1.43737e+06	1.43772e+06	1.43763e+06	1.43799e+06	1.43772e+06	1.43763e+06
47000000	29605	1782472704	1.43863e+06	1.43903e+06	1.43867e+06	1.43894e+06	1.4388e+06	1.43903e+06	1.43898e+06
48000000	30209	1811836928	1.44335e+06	1.44435e+06	1.44443e+06	1.4443e+06	1.44461e+06	1.44461e+06	1.4447e+06
49000000	30341	1839005696	1.45319e+06	1.45327e+06	1.45353e+06	1.45439e+06	1.45422e+06	1.45422e+06	1.45241e+06
50000000	31336	1866309632	1.44442e+06	1.44467e+06	1.44463e+06	1.4473e+06	1.44747e+06	1.44735e+06	1.44735e+06
51000000	31695	1895669760	1.44808e+06	1.44804e+06	1.44821e+06	1.44808e+06	1.44816e+06	1.44808e+06	1.44816e+06
