num-inserts	build-time	memory	query-100	query-95	query-75	query-50	query-25	query-5	query-0
1000000	814	73089024	1.40845e+06	1.40252e+06	1.41044e+06	1.40845e+06	1.40845e+06	1.3986e+06	1.40647e+06
2000000	1674	132059136	1.3459e+06	1.3459e+06	1.34318e+06	1.3468e+06	1.3459e+06	1.3468e+06	1.34228e+06
3000000	2597	203309056	1.33929e+06	1.33809e+06	1.33869e+06	1.33869e+06	1.3369e+06	1.33749e+06	1.32979e+06
4000000	3400	255791104	1.3132e+06	1.31449e+06	1.31536e+06	1.31492e+06	1.31536e+06	1.31363e+06	1.31492e+06
5000000	4249	312463360	1.2987e+06	1.29904e+06	1.29938e+06	1.2987e+06	1.29904e+06	1.29904e+06	1.29938e+06
6000000	5294	396181504	1.31637e+06	1.31579e+06	1.31666e+06	1.31377e+06	1.31608e+06	1.31752e+06	1.31521e+06
7000000	6263	450863104	1.30988e+06	1.30768e+06	1.30792e+06	1.30792e+06	1.30646e+06	1.30768e+06	1.30646e+06
8000000	6957	505405440	1.29997e+06	1.2987e+06	1.29912e+06	1.29933e+06	1.29765e+06	1.29807e+06	1.29891e+06
9000000	7852	559841280	1.28553e+06	1.28498e+06	1.28663e+06	1.2859e+06	1.28645e+06	1.28553e+06	1.28663e+06
10000000	8635	614440960	1.29149e+06	1.29149e+06	1.29132e+06	1.29182e+06	1.29132e+06	1.29132e+06	1.29149e+06
11000000	9965	758902784	1.30595e+06	1.30595e+06	1.30548e+06	1.3061e+06	1.30595e+06	1.30641e+06	1.30595e+06
12000000	10772	784232448	1.30506e+06	1.30477e+06	1.30463e+06	1.30534e+06	1.30492e+06	1.30506e+06	1.30477e+06
13000000	11571	832540672	1.30247e+06	1.30221e+06	1.30261e+06	1.30274e+06	1.30261e+06	1.30247e+06	1.30234e+06
14000000	12412	889167872	1.30087e+06	1.30039e+06	1.30051e+06	1.30051e+06	1.30051e+06	1.30015e+06	1.30027e+06
15000000	13152	943587328	1.3056e+06	1.3056e+06	1.30571e+06	1.30582e+06	1.30605e+06	1.30617e+06	1.30605e+06
16000000	14069	1000239104	1.29523e+06	1.29513e+06	1.29544e+06	1.29597e+06	1.29912e+06	1.29923e+06	1.29912e+06
17000000	14885	1054736384	1.29613e+06	1.29603e+06	1.29613e+06	1.29613e+06	1.29593e+06	1.29603e+06	1.29613e+06
18000000	15648	1107288064	1.30058e+06	1.3003e+06	1.3003e+06	1.30039e+06	1.30048e+06	1.30039e+06	1.30048e+06
19000000	16455	1163788288	1.29888e+06	1.29897e+06	1.29879e+06	1.29897e+06	1.29923e+06	1.29941e+06	1.29941e+06
20000000	17304	1218330624	1.29685e+06	1.29676e+06	1.29685e+06	1.29685e+06	1.2971e+06	1.29735e+06	1.29702e+06
21000000	19031	1482424320	1.3235e+06	1.31976e+06	1.31951e+06	1.32017e+06	1.31959e+06	1.32034e+06	1.32009e+06
22000000	19899	1505693696	1.31855e+06	1.31839e+06	1.31863e+06	1.31871e+06	1.31823e+06	1.31863e+06	1.31847e+06
23000000	20706	1530830848	1.3185e+06	1.31835e+06	1.31858e+06	1.31903e+06	1.31888e+06	1.31934e+06	1.31896e+06
24000000	21571	1553997824	1.31428e+06	1.31478e+06	1.31413e+06	1.31428e+06	1.31428e+06	1.30534e+06	1.30237e+06
25000000	22474	1602158592	1.30863e+06	1.30863e+06	1.30842e+06	1.30869e+06	1.30828e+06	1.30835e+06	1.30863e+06
26000000	23324	1654509568	1.30483e+06	1.3043e+06	1.30463e+06	1.3045e+06	1.30444e+06	1.30489e+06	1.30496e+06
27000000	24120	1709133824	1.30284e+06	1.30246e+06	1.30259e+06	1.30252e+06	1.30233e+06	1.3029e+06	1.30233e+06
28000000	24955	1765761024	1.30208e+06	1.30208e+06	1.30214e+06	1.30287e+06	1.30664e+06	1.30652e+06	1.30646e+06
29000000	25732	1820061696	1.30501e+06	1.30501e+06	1.30513e+06	1.30495e+06	1.30495e+06	1.30513e+06	1.30519e+06
30000000	26463	1876885504	1.30936e+06	1.30913e+06	1.30953e+06	1.30953e+06	1.30896e+06	1.3093e+06	1.30907e+06
31000000	27374	1931206656	1.30252e+06	1.30219e+06	1.30236e+06	1.30236e+06	1.30269e+06	1.30252e+06	1.30247e+06
32000000	28233	1988075520	1.30124e+06	1.30134e+06	1.30129e+06	1.30124e+06	1.30102e+06	1.30097e+06	1.30092e+06
33000000	29050	2042540032	1.29885e+06	1.29885e+06	1.29891e+06	1.2988e+06	1.29901e+06	1.29901e+06	1.29896e+06
34000000	29763	2099240960	1.30478e+06	1.30478e+06	1.30483e+06	1.30498e+06	1.30483e+06	1.30488e+06	1.30483e+06
35000000	30758	2151563264	1.29658e+06	1.29668e+06	1.29649e+06	1.29654e+06	1.29668e+06	1.29663e+06	1.29678e+06
36000000	31622	2206142464	1.29496e+06	1.29501e+06	1.29515e+06	1.29515e+06	1.2952e+06	1.29259e+06	1.29097e+06
37000000	32540	2262765568	1.28947e+06	1.28987e+06	1.28978e+06	1.28983e+06	1.28983e+06	1.28974e+06	1.28983e+06
38000000	33406	2317238272	1.28722e+06	1.28731e+06	1.28731e+06	1.28752e+06	1.28731e+06	1.28726e+06	1.28726e+06
39000000	34248	2373926912	1.28645e+06	1.28653e+06	1.28615e+06	1.28645e+06	1.28624e+06	1.28615e+06	1.28624e+06
40000000	34939	2428440576	1.29178e+06	1.29186e+06	1.29182e+06	1.29178e+06	1.29191e+06	1.29228e+06	1.2922e+06
41000000	36030	2485112832	1.28093e+06	1.28101e+06	1.28053e+06	1.28101e+06	1.28057e+06	1.28153e+06	1.28434e+06
42000000	38478	2950426624	1.31707e+06	1.31678e+06	1.31678e+06	1.31711e+06	1.31699e+06	1.31703e+06	1.31703e+06
43000000	39282	2975682560	1.31595e+06	1.31607e+06	1.31627e+06	1.31631e+06	1.31631e+06	1.31615e+06	1.31603e+06
44000000	40065	2998841344	1.31599e+06	1.31595e+06	1.31606e+06	1.31603e+06	1.31603e+06	1.31599e+06	1.31595e+06
45000000	40862	3021983744	1.31517e+06	1.31498e+06	1.31475e+06	1.31483e+06	1.31491e+06	1.31514e+06	1.31502e+06
46000000	41671	3047014400	1.31361e+06	1.31365e+06	1.31365e+06	1.3138e+06	1.31354e+06	1.31365e+06	1.31365e+06
47000000	42560	3070238720	1.30985e+06	1.30967e+06	1.30963e+06	1.30978e+06	1.30212e+06	1.30941e+06	1.30967e+06
48000000	43282	3095216128	1.31377e+06	1.31316e+06	1.31327e+06	1.31327e+06	1.31349e+06	1.31359e+06	1.31327e+06
49000000	43865	3135234048	1.31987e+06	1.31997e+06	1.32004e+06	1.32011e+06	1.31994e+06	1.32004e+06	1.32011e+06
50000000	45014	3189727232	1.30969e+06	1.30959e+06	1.30976e+06	1.30959e+06	1.30945e+06	1.30948e+06	1.30952e+06
51000000	45822	3244167168	1.30954e+06	1.30937e+06	1.30937e+06	1.30944e+06	1.30954e+06	1.30951e+06	1.3093e+06
52000000	46549	3300786176	1.31121e+06	1.31108e+06	1.31101e+06	1.31111e+06	1.31124e+06	1.31114e+06	1.31118e+06
53000000	47263	3355344896	1.31204e+06	1.31195e+06	1.31227e+06	1.31217e+06	1.31188e+06	1.31191e+06	1.3123e+06
54000000	48324	3409977344	1.30539e+06	1.30567e+06	1.30561e+06	1.3058e+06	1.30561e+06	1.3064e+06	1.3096e+06
55000000	48738	3466506240	1.31655e+06	1.31664e+06	1.31655e+06	1.31648e+06	1.31661e+06	1.31642e+06	1.31645e+06
