num-inserts	build-time	memory	query-100	query-95	query-75	query-50	query-25	query-5	query-0
1000000	764	72986624	1.443e+06	1.44509e+06	1.443e+06	1.43266e+06	1.44509e+06	1.44928e+06	1.43885e+06
2000000	1538	131936256	1.38985e+06	1.38985e+06	1.38889e+06	1.39179e+06	1.39082e+06	1.39082e+06	1.386e+06
3000000	2469	203157504	1.37552e+06	1.37489e+06	1.37426e+06	1.37363e+06	1.373e+06	1.37489e+06	1.37426e+06
4000000	3241	255688704	1.35962e+06	1.36147e+06	1.36193e+06	1.36147e+06	1.36193e+06	1.3587e+06	1.36054e+06
5000000	4039	312348672	1.33797e+06	1.34048e+06	1.34012e+06	1.34048e+06	1.33905e+06	1.33976e+06	1.34048e+06
6000000	5009	396099584	1.3624e+06	1.36333e+06	1.36209e+06	1.36364e+06	1.3624e+06	1.36178e+06	1.3624e+06
7000000	5777	450801664	1.35528e+06	1.35633e+06	1.35449e+06	1.35554e+06	1.35475e+06	1.35501e+06	1.35528e+06
8000000	6590	505266176	1.34161e+06	1.34048e+06	1.34228e+06	1.34048e+06	1.34161e+06	1.34093e+06	1.34161e+06
9000000	7364	559673344	1.33909e+06	1.33869e+06	1.33909e+06	1.33889e+06	1.33889e+06	1.33929e+06	1.33909e+06
10000000	8170	614322176	1.33032e+06	1.33067e+06	1.33067e+06	1.33032e+06	1.33103e+06	1.33067e+06	1.33067e+06
11000000	9455	759144448	1.35052e+06	1.35019e+06	1.34969e+06	1.3492e+06	1.35019e+06	1.34986e+06	1.34986e+06
12000000	10186	784289792	1.35318e+06	1.35349e+06	1.35333e+06	1.35318e+06	1.35318e+06	1.35349e+06	1.35379e+06
13000000	10982	832573440	1.35065e+06	1.34981e+06	1.35051e+06	1.35023e+06	1.34967e+06	1.34995e+06	1.35023e+06
14000000	11815	889147392	1.34164e+06	1.34164e+06	1.34551e+06	1.34602e+06	1.34602e+06	1.34615e+06	1.34602e+06
15000000	12536	943726592	1.34674e+06	1.34662e+06	1.34674e+06	1.34686e+06	1.34686e+06	1.3471e+06	1.34722e+06
16000000	13371	1000275968	1.33768e+06	1.33779e+06	1.33779e+06	1.33779e+06	1.33757e+06	1.33757e+06	1.33779e+06
17000000	14159	1054601216	1.3389e+06	1.33869e+06	1.33869e+06	1.33869e+06	1.33869e+06	1.33879e+06	1.339e+06
18000000	14952	1107230720	1.33442e+06	1.33442e+06	1.33452e+06	1.33452e+06	1.33462e+06	1.33462e+06	1.33472e+06
19000000	15771	1163890688	1.32997e+06	1.32988e+06	1.33007e+06	1.33007e+06	1.33016e+06	1.33016e+06	1.32997e+06
20000000	16633	1218281472	1.32398e+06	1.32415e+06	1.32415e+06	1.32398e+06	1.32424e+06	1.32415e+06	1.32442e+06
21000000	18397	1482588160	1.34659e+06	1.34676e+06	1.34667e+06	1.34641e+06	1.3465e+06	1.34641e+06	1.34667e+06
22000000	19196	1505652736	1.34565e+06	1.34573e+06	1.3454e+06	1.34548e+06	1.3454e+06	1.34548e+06	1.34557e+06
23000000	19963	1530929152	1.34401e+06	1.34409e+06	1.34401e+06	1.34377e+06	1.34385e+06	1.34385e+06	1.34377e+06
24000000	20775	1553993728	1.34213e+06	1.34243e+06	1.34236e+06	1.34236e+06	1.34243e+06	1.34228e+06	1.34236e+06
25000000	21537	1602179072	1.34091e+06	1.34084e+06	1.3407e+06	1.34034e+06	1.34041e+06	1.34027e+06	1.34034e+06
26000000	22362	1654493184	1.33924e+06	1.33931e+06	1.33931e+06	1.33952e+06	1.3391e+06	1.33945e+06	1.33917e+06
27000000	22924	1709060096	1.35061e+06	1.35054e+06	1.35061e+06	1.35047e+06	1.35061e+06	1.35068e+06	1.35054e+06
28000000	23970	1765625856	1.33562e+06	1.33569e+06	1.33588e+06	1.33581e+06	1.3355e+06	1.33575e+06	1.33569e+06
29000000	24731	1820184576	1.3337e+06	1.33364e+06	1.33395e+06	1.33389e+06	1.33321e+06	1.32991e+06	1.32991e+06
30000000	25610	1876922368	1.32737e+06	1.32802e+06	1.32755e+06	1.32761e+06	1.32743e+06	1.32767e+06	1.3279e+06
31000000	26177	1931345920	1.33863e+06	1.33869e+06	1.3388e+06	1.33869e+06	1.33892e+06	1.33851e+06	1.33875e+06
32000000	27211	1987969024	1.32428e+06	1.32412e+06	1.32374e+06	1.32428e+06	1.32434e+06	1.32516e+06	1.32841e+06
33000000	27960	2042630144	1.32637e+06	1.32642e+06	1.32653e+06	1.32679e+06	1.32674e+06	1.32674e+06	1.32669e+06
34000000	28582	2099089408	1.33433e+06	1.33433e+06	1.33438e+06	1.33459e+06	1.33433e+06	1.33433e+06	1.33454e+06
35000000	29446	2151591936	1.33146e+06	1.33151e+06	1.33141e+06	1.33151e+06	1.33151e+06	1.33146e+06	1.33151e+06
36000000	30276	2206158848	1.32606e+06	1.32636e+06	1.32631e+06	1.32631e+06	1.32646e+06	1.32616e+06	1.32641e+06
37000000	31023	2262818816	1.32869e+06	1.32869e+06	1.32878e+06	1.32878e+06	1.32902e+06	1.32907e+06	1.32898e+06
38000000	31972	2317250560	1.32202e+06	1.32215e+06	1.32202e+06	1.32197e+06	1.32188e+06	1.32225e+06	1.32248e+06
39000000	32651	2373935104	1.32518e+06	1.32464e+06	1.32477e+06	1.325e+06	1.32504e+06	1.32495e+06	1.32518e+06
40000000	33598	2428440576	1.31874e+06	1.31874e+06	1.31878e+06	1.31878e+06	1.3187e+06	1.31874e+06	1.31865e+06
41000000	34327	2485133312	1.32147e+06	1.32143e+06	1.32147e+06	1.32139e+06	1.32109e+06	1.32105e+06	1.32139e+06
42000000	36968	2950594560	1.3504e+06	1.3504e+06	1.35027e+06	1.35027e+06	1.34983e+06	1.35018e+06	1.35005e+06
43000000	37549	2975772672	1.35689e+06	1.35698e+06	1.35719e+06	1.35792e+06	1.35913e+06	1.35921e+06	1.35917e+06
44000000	38530	2998882304	1.34891e+06	1.34882e+06	1.34887e+06	1.34887e+06	1.34878e+06	1.34882e+06	1.34899e+06
45000000	39251	3021971456	1.34791e+06	1.34759e+06	1.34791e+06	1.34811e+06	1.34799e+06	1.34811e+06	1.34803e+06
46000000	40087	3047063552	1.34731e+06	1.34724e+06	1.34743e+06	1.34739e+06	1.34716e+06	1.34731e+06	1.34727e+06
47000000	40592	3070115840	1.35607e+06	1.35638e+06	1.35673e+06	1.35607e+06	1.35666e+06	1.35654e+06	1.35626e+06
48000000	41695	3095351296	1.34345e+06	1.34394e+06	1.34367e+06	1.34386e+06	1.34375e+06	1.34375e+06	1.34386e+06
49000000	42100	3135197184	1.35479e+06	1.35501e+06	1.35505e+06	1.35468e+06	1.35539e+06	1.35531e+06	1.35516e+06
50000000	43202	3191689216	1.34448e+06	1.34441e+06	1.34445e+06	1.34441e+06	1.34423e+06	1.34448e+06	1.34459e+06
51000000	43675	3244244992	1.35332e+06	1.35322e+06	1.35336e+06	1.35372e+06	1.35365e+06	1.35361e+06	1.35379e+06
52000000	44820	3300818944	1.34072e+06	1.341e+06	1.3411e+06	1.34107e+06	1.3409e+06	1.3409e+06	1.3427e+06
53000000	45511	3355176960	1.34198e+06	1.34187e+06	1.34187e+06	1.34181e+06	1.34191e+06	1.34177e+06	1.3415e+06
54000000	46336	3409842176	1.34088e+06	1.34102e+06	1.34098e+06	1.34095e+06	1.34082e+06	1.34072e+06	1.34105e+06
55000000	47290	3466579968	1.33427e+06	1.33427e+06	1.3343e+06	1.3343e+06	1.33424e+06	1.33427e+06	1.33434e+06
56000000	47919	3520987136	1.33846e+06	1.33853e+06	1.33862e+06	1.33837e+06	1.33837e+06	1.33859e+06	1.33859e+06
57000000	48458	3577716736	1.34605e+06	1.34599e+06	1.34593e+06	1.34609e+06	1.34615e+06	1.34758e+06	1.34742e+06
58000000	49518	3632259072	1.33622e+06	1.33637e+06	1.33634e+06	1.33662e+06	1.3365e+06	1.33634e+06	1.33647e+06
59000000	50013	3686694912	1.34488e+06	1.34528e+06	1.34534e+06	1.34547e+06	1.34547e+06	1.34494e+06	1.34525e+06
60000000	51102	3741233152	1.3344e+06	1.33425e+06	1.33446e+06	1.33443e+06	1.33419e+06	1.33437e+06	1.33443e+06
61000000	52088	3797688320	1.32785e+06	1.32793e+06	1.32793e+06	1.32765e+06	1.32773e+06	1.32799e+06	1.32796e+06
62000000	52747	3852406784	1.33042e+06	1.33024e+06	1.33076e+06	1.33039e+06	1.33039e+06	1.33044e+06	1.33053e+06
63000000	53563	3906895872	1.33108e+06	1.33116e+06	1.3313e+06	1.33147e+06	1.33133e+06	1.33116e+06	1.33111e+06
64000000	53996	3963457536	1.33998e+06	1.34001e+06	1.33995e+06	1.33981e+06	1.34003e+06	1.33975e+06	1.33998e+06
65000000	55190	4017876992	1.32924e+06	1.32932e+06	1.3293e+06	1.32927e+06	1.32922e+06	1.32922e+06	1.32932e+06
66000000	55527	4074680320	1.33774e+06	1.33796e+06	1.3379e+06	1.3379e+06	1.33777e+06	1.3379e+06	1.33798e+06
67000000	56754	4127051776	1.32679e+06	1.32655e+06	1.32679e+06	1.32692e+06	1.32689e+06	1.32676e+06	1.32684e+06
68000000	57215	4183687168	1.3354e+06	1.3353e+06	1.33556e+06	1.33548e+06	1.33559e+06	1.33564e+06	1.33561e+06
69000000	58427	4238082048	1.32466e+06	1.32461e+06	1.32473e+06	1.32468e+06	1.32468e+06	1.32468e+06	1.32445e+06
70000000	59217	4294807552	1.3231e+06	1.3231e+06	1.3231e+06	1.32335e+06	1.32335e+06	1.32333e+06	1.32328e+06
71000000	59620	4349349888	1.33206e+06	1.33226e+06	1.33248e+06	1.33241e+06	1.33231e+06	1.33236e+06	1.33236e+06
72000000	60892	4403920896	1.31919e+06	1.32091e+06	1.32115e+06	1.3211e+06	1.32105e+06	1.32103e+06	1.32088e+06
73000000	61243	4460601344	1.32996e+06	1.32988e+06	1.32981e+06	1.33005e+06	1.32993e+06	1.32988e+06	1.32976e+06
74000000	62587	4515160064	1.31635e+06	1.31621e+06	1.31644e+06	1.31637e+06	1.31642e+06	1.31621e+06	1.31635e+06
75000000	63393	4569513984	1.31528e+06	1.31554e+06	1.31528e+06	1.31406e+06	1.31397e+06	1.31556e+06	1.31537e+06
76000000	63649	4624121856	1.3267e+06	1.32689e+06	1.32682e+06	1.32693e+06	1.327e+06	1.32691e+06	1.32654e+06
77000000	65195	4680757248	1.3114e+06	1.31146e+06	1.31137e+06	1.31144e+06	1.31142e+06	1.31146e+06	1.31146e+06
78000000	65327	4735344640	1.32421e+06	1.32423e+06	1.32426e+06	1.32401e+06	1.32423e+06	1.32428e+06	1.3243e+06
79000000	66167	4791726080	1.32189e+06	1.32198e+06	1.32195e+06	1.32189e+06	1.32184e+06	1.32178e+06	1.32189e+06
